Example name,1,2,3,4,6,8,10,12,16,24,32,46,58,64
MaxDist,1.0,1.99767479975,2.99523894847,3.99120682716,5.98675102299,7.97561274844,9.96130062586,11.9330975574,15.9133067148,23.8313931228,31.4556451613,42.6287258924,50.6058954798,56.2177510017
MaxSegStrip,1.0,1.71691534807,2.1450331218,2.70352732758,3.89488619852,5.64682586204,6.67589943715,8.4881819083,11.5140570199,15.1668134474,15.5426649726,18.4018027698,10.7462525274,12.9107334316
2DSorted,1.0,1.71598025089,2.22642295152,2.56228988158,3.81482066245,5.53444117744,6.96308180858,8.64035072638,10.8713691151,12.2660242799,14.9362506464,12.3597810208,10.1759138897,11.8576700202
2DSum,1.0,1.6417682247,2.13341390929,2.42267847406,3.6837132447,5.37323453248,6.60112755281,8.39930513684,10.6006383994,12.9571530564,15.0380458885,15.2878295328,11.2701494757,15.3974380422
MinMaxCol,1.0,1.8628600903,2.60199952627,3.29965957731,5.17570034747,6.65098385469,8.23742179795,9.80203467801,12.7354890443,17.8934449409,20.9101003291,15.3308716637,11.0723725103,9.35377930835
MaxTopStrip,1.0,1.86080362488,2.06243779314,2.85400500513,3.87967904295,5.56129546049,7.15664298726,8.75443188972,10.6807531508,14.3969048289,16.7629843865,16.879362392,14.4605350179,19.0021816787
MinMax,1.0,1.95578818986,2.33896509811,2.98068213669,4.34381567137,5.62991621365,7.53379556179,9.22843460329,12.3332611024,16.819403979,18.7560570336,23.8137695721,22.2836582205,23.5366443203
MaxLeftRect,1.0,1.18653406124,1.89324357615,2.05640290192,2.63161053762,3.2464757312,3.70637260215,3.6382950429,4.42962521615,5.48165898618,6.14559504021,7.04307353289,7.65280456858,7.69773752193
Gradient1,1.0,1.81193933566,2.58635532448,3.19420439123,4.81151620932,6.32067119993,7.94042421543,9.19012606339,12.8267575416,18.7412345306,23.0935759607,29.2240190425,26.5300630444,28.9779789279
